timestamp,rnti,phr,dl_tbs,ul_tbs,dl_aggr_prb,wb_cqi,pusch_snr,pucch_snr,ul_rssi,dl_bler,ul_bler,dl_mcs,ul_mcs,target_future_rssi
1764717459485138.0,72,30,523701,757434,11,15,29.74533462524414,36.1905403137207,69.82196807861328,0.0,0.0,26,21,68.2872543334961
1764717459495136.0,72,30,523726,757479,11,15,29.35401725769043,34.66698455810547,68.2872543334961,0.0,0.0,26,21,66.9057846069336
1764717459505149.0,72,30,523788,757536,11,15,29.04315948486328,34.66698455810547,66.9057846069336,0.0,0.0,26,21,66.90557861328125
1764717459515150.0,72,30,523811,757539,11,15,28.941009521484375,35.307350158691406,66.90557861328125,0.0,0.0,26,21,67.24352264404297
1764717459525128.0,72,30,523798,757532,11,15,28.983200073242188,35.307350158691406,67.24352264404297,0.0,0.0,26,21,67.82140350341797
1764717459535146.0,72,30,523822,757523,11,15,29.36176300048828,35.277584075927734,67.82140350341797,0.0,0.0,26,21,68.06647491455078
1764717459545131.0,72,30,523809,757511,11,15,29.851652145385742,35.277584075927734,68.06647491455078,0.0,0.0,26,20,68.28703308105469
1764717459555142.0,72,30,523796,757511,11,15,29.974138259887695,35.277584075927734,68.28703308105469,0.0,0.0,26,20,68.66333770751953
1764717459565128.0,72,30,523819,757637,11,15,29.14358901977539,35.277584075927734,68.66333770751953,0.0,0.0,26,21,68.96836853027344
1764717459575130.0,72,30,523921,757757,11,15,28.629484176635742,35.49361801147461,68.96836853027344,0.0,0.0,26,21,68.96781921386719
1764717459585135.0,72,30,523945,757757,11,15,28.64491844177246,35.916839599609375,68.96781921386719,0.0,0.0,26,21,68.96731567382812
1764717459595135.0,72,30,523968,757736,11,15,29.248668670654297,36.04532241821289,68.96731567382812,0.0,0.0,26,20,69.09869384765625
1764717459605138.0,72,30,523955,757750,11,15,29.104307174682617,36.04532241821289,69.09869384765625,0.0,0.0,26,21,69.21600341796875
1764717459615135.0,72,30,523942,757770,11,15,29.14360237121582,36.181270599365234,69.21600341796875,0.0,0.0,26,21,69.41659545898438
1764717459625136.0,72,30,524005,757823,11,15,29.06147003173828,36.181270599365234,69.41659545898438,0.0,0.0,26,21,69.5787124633789
1764717459635139.0,72,30,524029,757853,11,15,29.228981018066406,36.222042083740234,69.5787124633789,0.0,0.0,26,21,69.64765167236328
